CID,TikTok,Type,Date,Plus,Minus
7576723590549389326,gaywhonotme,Royal Rumble,12/4/2025,"5,000",
7417960855335354369,pcdrums76,Gifted,12/4/2025,,-51000
7359134960558571525,smity194,Bonus,12/4/2025,"36,000",-36000
7359134960558571525,smity194,Gifted,12/4/2025,,-30000
7359135105165656069,freekbass,Gifted,12/4/2025,,-147000
7359135105165656069,freekbass,Bonus,12/4/2025,"72,000",-72000
7359134585688522757,singleonthemove,Bonus,12/3/2025,"36,000",-36000
7359135097779519493,bryton.39,Bonus,12/3/2025,"72,000",-72000
7359134572702957574,jayden_egg,Sunday Knockout,12/2/2025,"38,000",-18000
7368626525710794769,daisy_dew4,Sunday Knockout,12/2/2025,"3,000",-3000
7359136672245809158,natalianope,Sunday Knockout,12/2/2025,"6,000",-6000
7417960855335354369,pcdrums76,Bonus,12/2/2025,"33,000",-33000
7409743090665242641,theviolution,Bonus,12/2/2025,"33,000",-33000
7359136363951816710,rockylanemusic,Bonus,12/1/2025,"33,000",-33000
7359134585688522757,singleonthemove,Gifted,11/30/2025,,-50000
7554552006812188727,imjustnicob,Bonus,11/30/2025,"33,000",-33000
7359135084659736581,samanthasingsit,Bonus,11/30/2025,"33,000",-33000
7359135264167428102,coloreomusic,Bonus,11/30/2025,"33,000",-33000
7359134960558571525,smity194,Bonus,11/30/2025,"33,000",-33000
7359134572702957574,jayden_egg,Bonus,11/30/2025,"33,000",-33000
7451090481020321808,growandglowasmr,Bonus,11/30/2025,"33,000",-33000
7359135105165656069,freekbass,Royal Rumble,11/29/2025,"32,000",-12000
7359135097779519493,bryton.39,Royal Rumble,11/29/2025,"18,000",-18000
7359134572702957574,jayden_egg,Royal Rumble,11/29/2025,"8,000",
7368626525710794769,daisy_dew4,Royal Rumble,11/29/2025,"6,000",-6000
7359135097779519493,bryton.39,Bonus,11/29/2025,"36,000",-36000
7359134585688522757,singleonthemove,Bonus,11/29/2025,"72,000",-72000
7513787055730638849,cwdetroit,Rookie Reward,11/29/2025,"17,000",
7558760842850746382,sarahegant,Rookie Reward,11/29/2025,"19,000",
7535336479992889358,whitn084,Rookie Reward,11/29/2025,"16,000",
7527933905626988561,shanellenikolee,Rookie Reward,11/29/2025,"14,000",
7554197620911095863,realmelina,Rookie Reward,11/29/2025,"20,000",
7566313243967471630,davidwilliamwatts,Rookie Reward,11/29/2025,"17,000",
7546017169939709965,ardy.afshar,Rookie Reward,11/29/2025,"15,000",
7359137269107916806,metalkitten2,Rookie Reward,11/29/2025,"14,000",
7359134960558571525,smity194,Royal Rumble,11/26/2025,"30,000",
7359134572702957574,jayden_egg,Royal Rumble,11/26/2025,"6,000",-6000
7409743090665242641,theviolution,Royal Rumble,11/26/2025,"9,000",-9000
7566313243967471630,davidwilliamwatts,Royal Rumble,11/26/2025,"9,000",-9000
7359135084659736581,samanthasingsit,Royal Rumble,11/26/2025,"3,000",-3000
7359136672245809158,natalianope,Gifted,11/26/2025,,-78950
7359134585688522757,singleonthemove,Bonus,11/25/2025,"35,000",-35000
7359135499635884038,the.camjohnson,Gifted,11/25/2025,,-10000
7359135097779519493,bryton.39,Sunday Knockout,11/24/2025,"3,600",-3600
7417960855335354369,pcdrums76,Sunday Knockout,11/24/2025,"9,900",-9900
7566313243967471630,davidwilliamwatts,Sunday Knockout,11/24/2025,"17,900",-12900
7554197620911095863,realmelina,Sunday Knockout,11/24/2025,"4,800",-4800
7555294248464039991,follow_the_breeze,Sunday Knockout,11/24/2025,"3,000",-3000
7562950510282686478,britni_ncle,Sunday Knockout,11/24/2025,"2,000",-2000
7359134984718024709,cpayne_04,Gifted,11/23/2025,,-26000
7547872614069518349,primedplate,Bonus,11/23/2025,"33,000",-33000
7359135283092226053,oregonstargirl,Bonus,11/23/2025,"33,000",-33000
7451090481020321808,growandglowasmr,Bonus,11/23/2025,"33,000",-33000
7417960855335354369,pcdrums76,Bonus,11/23/2025,"72,000",-72000
7359135727810052101,hotterjakepaul,Bonus,11/22/2025,"33,000",-33000
7359134960558571525,smity194,Bonus,11/22/2025,"33,000",-33000
7409743090665242641,theviolution,Bonus,11/22/2025,"33,000",-33000
7359135084659736581,samanthasingsit,Bonus,11/22/2025,"33,000",-33000
7421725851278082065,itsyofavdessie_3,Gifted,11/22/2025,,-5000
7359135105165656069,freekbass,Royal Rumble,11/21/2025,"45,000",-15000
7359134960558571525,smity194,Royal Rumble,11/21/2025,"15,000",-15000
7537793382597410829,svendranoel,Gifted,11/21/2025,,-10000
7537793382597410829,svendranoel,Royal Rumble,11/19/2025,"13,000",-3000
7359135408745447429,b.herbz,Royal Rumble,11/19/2025,"5,000",-5000
7359135097779519493,bryton.39,Bonus,11/19/2025,"35,000",-35000
7359134585688522757,singleonthemove,Bonus,11/19/2025,"70,000",-70000
7566313243967471630,davidwilliamwatts,Sunday Knockout,11/17/2025,"6,000",-1000
7359136363951816710,rockylanemusic,Music Cypher,11/14/2025,"14,000",
7417960855335354369,pcdrums76,Bonus,11/13/2025,"35,000",-35000
7359134585688522757,singleonthemove,Bonus,11/12/2025,"35,000",-35000
7359135097779519493,bryton.39,Royal Rumble,11/12/2025,"34,000",-4000
7409743090665242641,theviolution,Royal Rumble,11/12/2025,"8,000",-8000
7359134960558571525,smity194,Bonus,11/11/2025,"70,000",-70000
7359135097779519493,bryton.39,Sunday Knockout,11/10/2025,"21,000",-1000
7417960855335354369,pcdrums76,Sunday Knockout,11/10/2025,"9,000",-9000
7359135097779519493,bryton.39,Bonus,11/10/2025,"35,000",-35000
7359137631822708741,sam_g_89,Bonus,11/9/2025,"70,000",-70000
7359137631822708741,sam_g_89,Gifted,11/9/2025,,-40000
7359134585688522757,singleonthemove,Bonus,11/8/2025,"70,000",-70000
7359136363951816710,rockylanemusic,Music Cypher,11/7/2025,"8,000",-3000
7433607263870517264,alexaraeemusic,Music Cypher,11/7/2025,"32,000",-12000
7547872614069518349,primedplate,Gifted,11/6/2025,,-10000
7417960855335354369,pcdrums76,Bonus,11/6/2025,"35,000",-35000
7359134456151867397,luke.h.reynoldsmusic,Bonus,11/6/2025,"30,000",-30000
7433607263870517264,alexaraeemusic,Gifted,11/6/2025,,-22000
7359135727810052101,hotterjakepaul,Royal Rumble,11/5/2025,"13,000",-8000
7409743090665242641,theviolution,Royal Rumble,11/5/2025,"2,000",-2000
7359136672245809158,natalianope,Royal Rumble,11/5/2025,"2,000",-2000
7359135105165656069,freekbass,Royal Rumble,11/5/2025,"22,000",-12000
7359135097779519493,bryton.39,Bonus,11/4/2025,"35,000",-35000
7359134585688522757,singleonthemove,Bonus,11/4/2025,"70,000",-70000
7359137668212490245,sebbythecatdad,Bonus,11/4/2025,"35,000",-35000
7359135097779519493,bryton.39,Sunday Knockout,11/3/2025,"2,000",-2000
7417960855335354369,pcdrums76,Sunday Knockout,11/3/2025,"27,000",-7000
7554197620911095863,realmelina,Sunday Knockout,11/3/2025,"1,000",-1000
7417960855335354369,pcdrums76,Music Cypher,10/31/2025,"20,000",
