,Host,TikTok,,Level,Month,Discord,Agent,Ranks,Bonus,New,Tix,Days,Day Pace,Active,Days Left,Hours,Hrs Goal,Hours Left,💎,Status,💎 Last 30,Growth %,Grad Left,-1 Month 💎,-2 Month 💎,-1 Level,-2 Level,Score,Earned,Gifted,Running,Multiply,Unlocked,LH,LH Camps
82,7574878703558180919,southerncharm0726,GO,2,3,@reba1977,ASHLEY,0,0,90,0,15,68%,Y,1.00,42,60,18,"143,705",✦,"143,359",-35%,14,"219,685","22,943",2,-1,31,0,0,0,1x,0,FALSE,FALSE
83,7359138297592938501,sonnybrightside,GO,2,24,@sonnybrightside,BRYTON,0,0,298,2K,21,95%,Y,1.00,58,60,2,"142,042",,"110,717",-54%,NR,"306,519","117,637",2,2,32,"22,000",0,0,1x,0,FALSE,FALSE
84,7359136495090892805,fluxxmob,GO,0,1514,@fluxxsoulrich,LEVI,0,0,113,0,11,50%,Y,1.00,23,40,17,"134,526",✧,"134,526",N,NR,0,"9,602",-1,-1,7,0,0,0,-,0,FALSE,FALSE
85,7554923198903795767,onemanelectricalband,GO,0,5,@onemanelectricalband,LEVI,0,0,"1,349",0,9,41%,Y,1.00,26,40,14,"133,361",,"122,852",-48%,NR,"257,308","131,013",1,1,22,0,0,0,-,0,FALSE,FALSE
86,7359135632007921670,24widmar,GO,2,31,@gymlordmarkus,LEVI,0,0,146,10K,15,68%,Y,1.00,43,60,17,"126,062",,"122,962",-5%,NR,"132,466","137,893",1,2,21,"111,600",0,0,-,0,FALSE,FALSE
87,7359139156565622790,naseem0815,GO,3,23,@nramcharan,CARRINGTON,0,0,51,0,25,114%,Y,1.00,77,80,3,"121,232",,"121,227",-51%,NR,"245,249","260,796",3,3,36,"4,750",0,"4,750",1x,"4,750",,77
88,7359135361911652357,shelbyjo89,GO,5,33,@shelbyjo89,CARRINGTON,0,0,118,0,30,136%,Y,1.00,191,80,-,"121,077",,"116,201",14%,NR,"106,552","274,027",5,5,41,0,0,0,1x,0,FALSE,FALSE
89,7537739361362919437,masseyfamilyempire,GO,3,6,@tonyamassey,ASHLEY,0,0,339,0,27,123%,Y,1.00,65,80,15,"120,036",,"110,007",-4%,-86,"124,680","1,619",4,-1,33,0,0,0,1x,0,FALSE,FALSE
90,7535336479992889358,whitn084,GO,5,6,@whitney552,CARRINGTON,0,0,194,1K,31,141%,Y,1.00,136,80,-,"106,616",,"104,669",-74%,NR,"413,379","433,985",5,5,49,"16,000",0,"16,000",1x,"16,000",FALSE,FALSE
91,7359137032024752133,djbowiejane,GO,-1,27,@djbowiejane,LEVI,0,"5,000",10,114K,5,23%,Y,1.00,5,15,10,"95,752",,"95,752",410%,NR,"18,765","83,239",-1,-1,4,"195,050",0,"17,750",-,0,,5
